id,hotel_name,hotel_city,hotel_price,hotel_type,hotel_rating,total_review
3000010039024,INNSIDE by Melia Yogyakarta,Yogyakarta,Rp 1.497.600,Hotels,8.6,4362
1000000509788,The Alana Hotel &amp; Conference Center Malioboro Yogyakarta by ASTON,Yogyakarta,Rp 1.437.500,Hotels,8.7,6356
409746,Hotel Tentrem Yogyakarta,Yogyakarta,Rp 2.299.000,Hotels,9.0,5857
100215,Hyatt Regency Yogyakarta,Yogyakarta,Rp 1.770.158,Resorts,8.9,3534
168,Melia Purosani Yogyakarta,Yogyakarta,Rp 1.981.350,Hotels,8.7,3322
344819,favehotel Kusumanegara,Yogyakarta,Rp 495.000,Hotels,8.2,5291
84796,Sahid Raya Hotel &amp; Convention Yogyakarta,Yogyakarta,Rp 535.500,Hotels,7.9,4226
544602,Eastparc Hotel Yogyakarta,Yogyakarta,Rp 2.934.000,Hotels,9.0,7069
289515,Royal Ambarrukmo Yogyakarta,Yogyakarta,Rp 2.855.376,Hotels,9.0,4098
4843,Grand Inna Malioboro,Yogyakarta,Rp 1.722.825,Hotels,8.6,10355
3000020018650,eL Hotel Royale Yogyakarta Malioboro,Yogyakarta,Rp 1.729.000,Hotels,8.7,1730
294754,Jambuluwuk Malioboro Hotel Yogyakarta,Yogyakarta,Rp 1.150.982,Hotels,8.4,6993
3000020003297,Yogyakarta Marriott Hotel,Yogyakarta,Rp 2.301.299,Hotels,9.0,3040
3000010007119,Hotel Neo Malioboro by ASTON,Yogyakarta,Rp 1.593.000,Hotels,8.8,10738
3000010000813,The Rich Jogja Hotel,Yogyakarta,Rp 750.000,Hotels,8.5,9056
3000010008396,Yellow Star Ambarukmo Hotel,Yogyakarta,Rp 887.999,Hotels,8.4,8414
3000010000393,Hotel Dafam Fortuna Seturan,Yogyakarta,Rp 1.143.880,Hotels,8.5,7636
3000010000158,Greenhost Boutique Hotel,Yogyakarta,Rp 675.000,Hotels,8.7,7025
1000000463618,Crystal Lotus Hotel,Yogyakarta,Rp 835.963,Hotels,8.4,9294
3000010000269,Indoluxe Hotel Jogjakarta,Yogyakarta,Rp 850.000,Hotels,8.7,6124
3000010008560,Yellow Star Gejayan Hotel,Yogyakarta,Rp 938.000,Hotels,8.5,9218
3000010014944,GAIA Cosmo Hotel,Yogyakarta,Rp 820.000,Hotels,8.9,3496
3000020005012,Artotel Yogyakarta,Yogyakarta,Rp 859.320,Hotels,8.8,3536
443756,Grand Tjokro Yogyakarta,Yogyakarta,Rp 802.620,Hotels,8.4,5370
478906,Grand Zuri Malioboro Yogyakarta,Yogyakarta,Rp 1.605.250,Hotels,8.6,5408
3000010023638,The Westlake Hotel &amp; Resort Yogyakarta,Yogyakarta,Rp 1.112.500,Hotels,8.9,4897
3000010007197,Harper Malioboro Yogyakarta by ASTON,Yogyakarta,Rp 1.950.400,Hotels,8.8,4664
3000020018300,Arte Hotel Malioboro Yogyakarta,Yogyakarta,Rp 760.000,Hotels,8.4,2637
9000000687487,PORTA by The Ambarrukmo,Yogyakarta,Rp 950.000,Hotels,8.9,874
3000010014429,Lafayette Boutique Hotel,Yogyakarta,Rp 2.469.050,Hotels,8.8,4784
239433,Whiz Hotel Malioboro Yogyakarta,Yogyakarta,Rp 1.125.000,Hotels,8.2,9239
9000000973889,"KIMAYA Sudirman Yogyakarta, By HARRIS",Yogyakarta,Rp 750.000,Hotels,8.6,241
1000000643090,Grand Mercure Yogyakarta Adi Sucipto,Yogyakarta,Rp 1.173.000,Hotels,8.6,2076
48681,The Jayakarta Yogyakarta Hotel &amp; Spa,Yogyakarta,Rp 1.062.500,Hotels,8.3,4689
3000010002676,h Boutique Hotel Jogjakarta,Yogyakarta,Rp 750.792,Hotels,8.5,5853
3000020001130,Sheraton Mustika Yogyakarta Resort &amp; Spa,Yogyakarta,Rp 2.240.738,Hotels,8.5,2180
564300,Cavinton Hotel Yogyakarta by Tritama Hospitality,Yogyakarta,Rp 1.710.110,Hotels,8.6,2098
9000000927644,All Nite &amp; Day Hotel Yogyakarta - Gejayan,Yogyakarta,Rp 510.000,Hotels,8.4,888
9000000927698,Royal Malioboro by ASTON,Yogyakarta,Rp 1.944.000,Hotels,8.9,691
1000001697872,Aveta Hotel Malioboro,Yogyakarta,Rp 1.396.500,Hotels,8.3,1120
3000020016568,"Grand Senyum Hotel, Tugu",Yogyakarta,Rp 1.580.000,Hotels,8.7,1525
8424,ibis Yogyakarta Malioboro,Yogyakarta,Rp 1.599.999,Hotels,8.4,4286
281804,The Victoria Hotel Yogyakarta,Yogyakarta,Rp 1.080.000,Hotels,8.6,6667
3000010040445,Grand Keisha Yogyakarta,Yogyakarta,Rp 810.000,Hotels,8.9,4620
3000010008792,Grand Kangen Hotel Urip Sumoharjo Yogyakarta,Yogyakarta,Rp 934.999,Hotels,8.5,8982
2000000098697,Grage Jogja Malioboro,Yogyakarta,Rp 1.124.999,Hotels,8.5,3586
9000000974039,ARTOTEL Suites Bianti - Yogyakarta,Yogyakarta,Rp 1.170.000,Hotels,8.6,98
3000020018502,PULANG ke UTTARA,Yogyakarta,Rp 765.000,Apartments,8.7,1061
3000010016184,Swiss-Belboutique Yogyakarta,Yogyakarta,Rp 1.300.000,Hotels,9.0,2017
3000010001202,Merapi Merbabu Hotels &amp; Resort Yogyakarta,Yogyakarta,Rp 645.999,Hotels,8.2,3437
9000000928841,Grand Rohan Jogja,Yogyakarta,Rp 665.100,Hotels,8.6,280
3000010010577,Amaris Hotel Malioboro - Jogja,Yogyakarta,Rp 725.000,Hotels,8.6,6605
3000010023653,Platinum Adisucipto Yogyakarta Hotel &amp; Conference,Yogyakarta,Rp 583.200,Hotels,8.8,3963
1000000572520,KHAS Malioboro Hotel,Yogyakarta,Rp 1.706.068,Hotels,8.6,3470
10335,Grand Mirage Resort &amp; Thalasso Bali,Bali,Rp 2.398.115,Resorts,8.5,439
9000000134730,Brits Hotel Legian,Bali,Rp 635.375,Hotels,8.5,856
291134,HARRIS Hotel &amp; Residences Sunset Road,Bali,Rp 516.600,Hotels,8.5,2226
3000020015863,Lloyd's Inn Bali,Bali,Rp 889.200,Hotels,8.6,1163
1251,Prime Plaza Hotel Sanur – Bali,Bali,Rp 787.968,Resorts,8.5,1220
1000000524503,Padma Resort Ubud,Bali,Rp 5.880.000,Resorts,9.1,953
65538,The Patra Bali Resort &amp; Villas,Bali,Rp 1.776.180,Resorts,8.8,702
400056,"Marriott's Autograph Collection, The Stones Hotel, Bali",Bali,Rp 2.591.989,Resorts,8.8,591
400336,Horison Seminyak,Bali,Rp 676.800,Hotels,8.4,3279
3000020007139,Episode Kuta Bali,Bali,Rp 643.500,Hotels,8.5,1432
109883,The Haven Bali Seminyak,Bali,Rp 899.000,Resorts,8.5,1118
9000000822112,Andaz Bali - a concept by Hyatt,Bali,Rp 4.933.202,Resorts,9.1,36
176849,ASTON Denpasar Hotel &amp; Convention Center,Bali,Rp 596.700,Hotels,8.3,2393
